BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 15, 492, 0.03, 09-May-2024 16:00:00
90234, 44213, 6, 258, 0.02, 09-May-2024 16:00:00
90234, 44450, 0, 5451, 0.00, 09-May-2024 16:00:00
90234, 44451, 0, 33378, 0.00, 09-May-2024 16:00:00
90234, 44452, 0, 640, 0.00, 09-May-2024 16:00:00
90234, 44453, 27, 285, 0.09, 09-May-2024 16:00:00
90234, 44454, 0, 17230, 0.00, 09-May-2024 16:00:00
90234, 44455, 23, 1988, 0.01, 09-May-2024 16:00:00
90234, 44498, 168492, 328, 513.70, 09-May-2024 16:00:00
90234, 44500, 0, 31802, 0.00, 09-May-2024 16:00:00
90234, 44579, 0, 5494, 0.00, 09-May-2024 16:00:00
90234, 44590, 0, 63446, 0.00, 09-May-2024 16:00:00
90234, 44593, 0, 8272, 0.00, 09-May-2024 16:00:00
90234, 44619, 749, 98, 7.64, 09-May-2024 16:00:00
90234, 44787, 1, 7082, 0.00, 09-May-2024 16:00:00
90234, 44789, 7, 453, 0.02, 09-May-2024 16:00:00
90234, 44886, 19, 4849, 0.00, 09-May-2024 16:00:00
90234, 44888, 0, 4049, 0.00, 09-May-2024 16:00:00
90234, 44892, 0, 3211, 0.00, 09-May-2024 16:00:00
90234, 44911, 0, 1299, 0.00, 09-May-2024 16:00:00
90234, 44913, 0, 850, 0.00, 09-May-2024 16:00:00
90234, 44914, 0, 835, 0.00, 09-May-2024 16:00:00
90234, 44915, 0, 1678, 0.00, 09-May-2024 16:00:00
90234, 44920, 0, 6492, 0.00, 09-May-2024 16:00:00
90234, 44924, 28, 568, 0.05, 09-May-2024 16:00:00
90234, 44925, 1, 551, 0.00, 09-May-2024 16:00:00
90234, 44926, 34, 573, 0.06, 09-May-2024 16:00:00
90234, 44927, 534, 172, 3.10, 09-May-2024 16:00:00
90234, 44949, 357, 172, 2.08, 09-May-2024 16:00:00
90234, 44956, 0, 5391, 0.00, 09-May-2024 16:00:00
90234, 45145, 958, 498, 1.92, 09-May-2024 16:00:00
90234, 45146, 0, 6126, 0.00, 09-May-2024 16:00:00
90234, 45148, 0, 77889, 0.00, 09-May-2024 16:00:00
90234, 45149, 0, 1282, 0.00, 09-May-2024 16:00:00
90234, 45150, 0, 1275, 0.00, 09-May-2024 16:00:00
90234, 45151, 0, 106, 0.00, 09-May-2024 16:00:00
90234, 45160, 0, 110, 0.00, 09-May-2024 16:00:00
90234, 45161, 72658, 291, 249.68, 09-May-2024 16:00:00
90234, 45162, 72136, 259, 278.52, 09-May-2024 16:00:00
90234, 45163, 73024, 284, 257.13, 09-May-2024 16:00:00
90234, 45164, 66879, 221, 302.62, 09-May-2024 16:00:00
90234, 45165, 65194, 209, 311.93, 09-May-2024 16:00:00
90234, 45166, 57680, 346, 166.71, 09-May-2024 16:00:00
90234, 45167, 73732, 222, 332.13, 09-May-2024 16:00:00
90234, 45184, 698, 116, 6.02, 09-May-2024 16:00:00
90234, 45185, 3, 2362, 0.00, 09-May-2024 16:00:00
90234, 45187, 11962, 708, 16.90, 09-May-2024 16:00:00
90234, 45189, 56, 1302, 0.04, 09-May-2024 16:00:00
90234, 45190, 61146, 348, 175.71, 09-May-2024 16:00:00
90234, 45191, 0, 349, 0.00, 09-May-2024 16:00:00
90234, 45193, 0, 3594, 0.00, 09-May-2024 16:00:00
90234, 45194, 0, 2759, 0.00, 09-May-2024 16:00:00
90234, 45196, 15, 372, 0.04, 09-May-2024 16:00:00
90234, 45198, 0, 3612, 0.00, 09-May-2024 16:00:00
90234, 45199, 0, 8931, 0.00, 09-May-2024 16:00:00
90234, 45250, 0, 1307, 0.00, 09-May-2024 16:00:00
90234, 45251, 0, 19791, 0.00, 09-May-2024 16:00:00
90234, 45252, 0, 19087, 0.00, 09-May-2024 16:00:00
90234, 45253, 0, 8640, 0.00, 09-May-2024 16:00:00
90234, 45256, 0, 19906, 0.00, 09-May-2024 16:00:00
90234, 45257, 98, 2232, 0.04, 09-May-2024 16:00:00
90234, 45260, 11855, 750, 15.81, 09-May-2024 16:00:00
90234, 45261, 0, 20068, 0.00, 09-May-2024 16:00:00
90234, 45262, 0, 8508, 0.00, 09-May-2024 16:00:00
90234, 45267, 0, 8506, 0.00, 09-May-2024 16:00:00
90234, 45333, 14, 2421, 0.01, 09-May-2024 16:00:00
90234, 45334, 0, 7841, 0.00, 09-May-2024 16:00:00
90234, 45335, 0, 7884, 0.00, 09-May-2024 16:00:00
90234, 45357, 0, 5407, 0.00, 09-May-2024 16:00:00
90234, 45397, 0, 7881, 0.00, 09-May-2024 16:00:00
90234, 45398, 0, 7827, 0.00, 09-May-2024 16:00:00
90234, 45399, 0, 7807, 0.00, 09-May-2024 16:00:00
90234, 45457, 58560, 347, 168.76, 09-May-2024 16:00:00
90234, 45511, 0, 6307, 0.00, 09-May-2024 16:00:00
90234, 45512, 0, 44387, 0.00, 09-May-2024 16:00:00
90234, 45514, 2, 42067, 0.00, 09-May-2024 16:00:00
90234, 45515, 0, 3618, 0.00, 09-May-2024 16:00:00
90234, 45516, 0, 9567, 0.00, 09-May-2024 16:00:00
90234, 45517, 9825, 495, 19.85, 09-May-2024 16:00:00
90234, 45518, 0, 3610, 0.00, 09-May-2024 16:00:00
90234, 45624, 1, 6431, 0.00, 09-May-2024 16:00:00
90234, 45637, 53, 1788, 0.03, 09-May-2024 16:00:00
90234, 45640, 0, 3626, 0.00, 09-May-2024 16:00:00
90234, 45641, 0, 3582, 0.00, 09-May-2024 16:00:00
90234, 45642, 0, 3585, 0.00, 09-May-2024 16:00:00
90234, 45695, 64926, 326, 199.16, 09-May-2024 16:00:00
90234, 45696, 5822, 3946, 1.48, 09-May-2024 16:00:00
90234, 45908, 0, 502, 0.00, 09-May-2024 16:00:00
90234, 45927, 18, 180, 0.10, 09-May-2024 16:00:00
90234, 45963, 48, 1169, 0.04, 09-May-2024 16:00:00
90234, 45964, 0, 856, 0.00, 09-May-2024 16:00:00
90234, 45965, 63216, 305, 207.27, 09-May-2024 16:00:00
90234, 45966, 2, 9, 0.22, 09-May-2024 16:00:00
90234, 45967, 0, 1230, 0.00, 09-May-2024 16:00:00
90234, 45968, 5, 189, 0.03, 09-May-2024 16:00:00
90234, 45969, 1, 17292, 0.00, 09-May-2024 16:00:00
90234, 46007, 0, 8571, 0.00, 09-May-2024 16:00:00
90234, 46026, 0, 69561, 0.00, 09-May-2024 16:00:00
90234, 46112, 3, 16478, 0.00, 09-May-2024 16:00:00
90234, 46113, 39, 21671, 0.00, 09-May-2024 16:00:00
90234, 46392, 0, 7878, 0.00, 09-May-2024 16:00:00
90234, 46441, 243, 5154, 0.05, 09-May-2024 16:00:00
